year,gender,insomnia_freq,sleep_cat,awakenings_freq,sleep_quality_cat,concentration_freq,fatigue_freq,skip_classes_freq,deadline_impact_cat,screen_freq_cat,caffeine_freq_cat,activity_freq_cat,stress_cat,performance_cat,screen_freq,sleep_hours,sleep_ord,caffeine,activity,stress,sleep_quality,insomnia,awakenings,concentration,fatigue,skip_classes,deadline_impact,performance
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Average,4,7.5,4,2,3,3,4,4,4,3,4,4,3,3
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Good,3,7.5,4,3,3,2,4,4,4,4,3,3,4,4
First year,Female,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,4,3,3,4,4,3,4,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Poor,Often,Often,Rarely (1-2 times a month),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Every day,Extremely high stress,Excellent,3,8.5,5,3,5,4,2,4,3,4,4,2,2,5
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Average,3,7.5,4,3,4,2,5,4,4,5,3,3,3,3
Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Sometimes,Rarely,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Below Average,3,7.5,4,4,2,3,5,4,4,3,2,3,2,2
Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Never,No stress,Good,2,7.5,4,2,1,1,4,3,4,3,4,3,2,4
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Good,4,8.5,5,2,2,2,4,4,5,5,3,4,3,4
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Sometimes,Rarely,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Extremely high stress,Average,2,8.5,5,2,3,4,3,4,4,3,2,2,3,3
Third year,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,4,8.5,5,3,4,3,5,5,5,5,5,5,3,1
Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average,3,7.5,4,4,3,3,2,4,5,4,3,5,4,3
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Average,3,8.5,5,5,3,3,4,4,4,4,3,5,4,3
Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Never,Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Average,1,7.5,4,2,3,2,2,4,4,2,3,3,2,3
Second year,Female,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,3,6.5,3,4,3,3,4,4,3,4,3,3,4,2
Second year,Male,Sometimes (3-4 times a week),More than 8 hours,Often (5-6 times a week),Average,Always,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Good,4,8.5,5,2,2,3,3,3,4,5,3,4,3,4
Graduate student,Male,Sometimes (3-4 times a week),4-5 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,4.5,2,4,4,3,4,3,3,4,4,4,4,1
First year,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Average,Rarely,Never,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Good,3,8.5,5,2,4,2,3,4,3,2,1,3,3,4
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Average,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,3,4,5,4,3,4,4,2
Second year,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average,3,6.5,3,3,3,3,4,3,4,2,3,3,3,3
Third year,Male,Every night,More than 8 hours,Every night,Good,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Average,3,8.5,5,3,3,2,4,5,5,2,3,2,3,3
First year,Male,Every night,7-8 hours,Rarely (1-2 times a week),Average,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Excellent,2,7.5,4,3,3,3,3,5,2,3,2,3,3,5
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Below Average,4,7.5,4,2,3,3,4,4,4,4,4,2,3,2
Graduate student,Male,Rarely (1-2 times a week),4-5 hours,Rarely (1-2 times a week),Average,Sometimes,Sometimes,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Average,2,4.5,2,2,2,2,3,2,2,3,3,2,2,3
